case_id,settlement_id,scenario,expected_verdict,expected_reason
B082,S-10082,t1_delay,VERIFIED,
B083,S-10083,clean_match,VERIFIED,
B084,S-10084,duplicate_utr,FAILED,DUPLICATE_UTR
B085,S-10085,clean_match,VERIFIED,
B086,S-10086,t1_delay,VERIFIED,
B087,S-10087,partial_settlement,VERIFIED,
B088,S-10088,fee_mismatch,FAILED,FEE_MISMATCH
B089,S-10089,fee_mismatch,FAILED,FEE_MISMATCH
B090,S-10090,duplicate_file,FAILED,DUPLICATE_FILE
B091,S-10091,t1_delay,VERIFIED,
B092,S-10092,fee_mismatch,FAILED,FEE_MISMATCH
B093,S-10093,clean_match,VERIFIED,
B094,S-10094,fee_mismatch,FAILED,FEE_MISMATCH
B095,S-10095,clean_match,VERIFIED,
B096,S-10096,duplicate_utr,FAILED,DUPLICATE_UTR
B097,S-10097,clean_match,VERIFIED,
B098,S-10098,clean_match,VERIFIED,
B099,S-10099,clean_match,VERIFIED,
B100,S-10100,clean_match,VERIFIED,
B101,S-10101,clean_match,VERIFIED,
B102,S-10102,duplicate_file,FAILED,DUPLICATE_FILE
B103,S-10103,t1_delay,VERIFIED,
B104,S-10104,clean_match,VERIFIED,
B105,S-10105,clean_match,VERIFIED,
B106,S-10106,stale_policy,UNCERTAIN,STALE_POLICY
B107,S-10107,clean_match,VERIFIED,
B108,S-10108,clean_match,VERIFIED,
B109,S-10109,clean_match,VERIFIED,
B110,S-10110,clean_match,VERIFIED,
B111,S-10111,duplicate_utr,FAILED,DUPLICATE_UTR
B112,S-10112,clean_match,VERIFIED,
B113,S-10113,clean_match,VERIFIED,
B114,S-10114,t1_delay,VERIFIED,
B115,S-10115,clean_match,VERIFIED,
B116,S-10116,contradictory_source,FAILED,CONTRADICTORY_SOURCE
B117,S-10117,clean_match,VERIFIED,
B118,S-10118,t1_delay,VERIFIED,
B119,S-10119,duplicate_utr,FAILED,DUPLICATE_UTR
B120,S-10120,fee_mismatch,FAILED,FEE_MISMATCH
